Epoch,loss,mse,val_loss,val_mse
0,0.38939,0.11758,0.2255,0.04271
1,0.07578,0.01142,0.07948,0.01071
2,0.04856,0.00895,0.05287,0.00862
3,0.03792,0.00802,0.04669,0.0083
4,0.03369,0.00767,0.04587,0.00816
5,0.03079,0.0074,0.04542,0.00806
6,0.02881,0.00712,0.04136,0.00786
7,0.02806,0.00706,0.04063,0.00795
8,0.02768,0.00707,0.03855,0.00776
9,0.02658,0.00689,0.03455,0.00749
10,0.02647,0.00689,0.0351,0.0075
11,0.02584,0.00676,0.02649,0.00674
12,0.02574,0.00679,0.02916,0.00688
13,0.02444,0.00646,0.03558,0.00743
14,0.02471,0.00652,0.03193,0.00735
15,0.02468,0.00653,0.03613,0.00731
16,0.02393,0.00638,0.038,0.00774
17,0.02443,0.00649,0.02851,0.00694
18,0.02403,0.00641,0.02849,0.00693
19,0.02335,0.00627,0.02892,0.00704
20,0.0229,0.00614,0.02807,0.00679
21,0.02309,0.00623,0.03027,0.00712
22,0.02328,0.00626,0.02963,0.00704
23,0.02277,0.00617,0.02806,0.00689
24,0.02229,0.00604,0.03168,0.00702
25,0.02259,0.00602,0.02474,0.00646
26,0.02216,0.006,0.02221,0.00599
27,0.02148,0.00588,0.02563,0.00653
28,0.02142,0.00583,0.02704,0.00656
29,0.02077,0.00569,0.02416,0.00625
30,0.02112,0.00568,0.02203,0.00602
31,0.02052,0.00562,0.0303,0.00689
32,0.02085,0.00567,0.02729,0.00662
33,0.02033,0.0056,0.023,0.006
34,0.02011,0.00552,0.01781,0.00506
35,0.02028,0.00556,0.02174,0.0058
36,0.01943,0.00539,0.02618,0.0066
37,0.01948,0.0054,0.02382,0.00627
38,0.01922,0.00537,0.0325,0.00691
39,0.01856,0.00517,0.02872,0.00675
40,0.01875,0.00525,0.02892,0.00677
41,0.01845,0.00515,0.02739,0.00652
42,0.01817,0.00514,0.03165,0.00699
43,0.01878,0.00528,0.02281,0.0059
44,0.0189,0.00527,0.0224,0.00589
45,0.01798,0.00511,0.02987,0.0067
46,0.0178,0.00503,0.01955,0.00546
47,0.01759,0.00505,0.02224,0.00593
48,0.01792,0.00509,0.02603,0.00638
49,0.01728,0.00499,0.02359,0.00608
50,0.01716,0.00495,0.0317,0.00673
51,0.01664,0.00486,0.02897,0.00659
52,0.01687,0.0048,0.02504,0.00617
53,0.01621,0.00471,0.02506,0.0062
54,0.01608,0.00465,0.01865,0.00514
55,0.01674,0.00487,0.03423,0.00679
56,0.01698,0.00494,0.03278,0.00669
57,0.01637,0.00474,0.02165,0.00581
58,0.01569,0.00461,0.01999,0.00527
59,0.01551,0.00453,0.02203,0.00569
60,0.01494,0.00445,0.02344,0.00586
61,0.01514,0.00448,0.0355,0.00681
62,0.01471,0.00438,0.02598,0.00618
63,0.01467,0.00437,0.02267,0.00573
64,0.01475,0.00441,0.027,0.00608
