Epoch,loss,mse,val_loss,val_mse
0,-2.89223,73.55326,-30.27062,69.73593
1,-8.13382,72.36092,-29.82212,69.74105
2,-11.00275,72.12009,-29.79117,69.74132
3,-14.01131,72.01371,-29.94766,69.73831
4,-16.99259,72.00926,-30.07555,69.73185
5,-19.95991,72.02355,-30.41173,69.71923
6,-23.49379,71.95647,-30.72645,69.70736
7,-26.08371,72.00716,-30.45605,69.72895
8,-28.8494,71.97701,21.62414,73.22511
9,-31.71042,71.96082,37.35484,74.19804
10,-32.98934,71.91014,6.64033,72.17325
11,-35.75478,71.86774,-25.57661,69.61385
12,-37.23071,71.86925,-2.10292,70.99007
13,-38.29078,71.84732,-5.5955,70.14111
14,-38.6058,71.84592,-2.80786,70.6718
15,-40.29521,71.82041,1.32967,70.91008
16,-40.68169,71.81261,10.82959,72.19915
17,-40.63914,71.8037,-12.41138,70.17925
18,-41.38746,71.79407,-23.81395,69.43716
19,-41.65992,71.78699,-33.06582,69.37363
20,-41.69931,71.77699,-33.09767,69.33966
21,-41.84557,71.7739,-24.80799,69.35727
22,-41.94411,71.77278,-11.31183,69.86733
23,-42.0019,71.76891,-17.21519,69.44789
24,-42.18504,71.76643,-19.64494,69.27677
25,-42.23713,71.76304,-19.63577,69.25694
26,-42.29886,71.75835,-16.46374,69.35768
27,-42.36724,71.75478,-16.28837,69.33464
28,-42.24715,71.75008,-22.37475,69.13136
29,-42.33143,71.74821,-28.08247,69.05222
30,-42.2979,71.75138,-27.00741,69.04763
31,-42.19855,71.75077,-27.02535,69.07619
32,-42.14576,71.73949,-33.3382,69.06284
33,-42.32421,71.73674,-36.82028,69.04842
34,-42.36694,71.74202,-34.23943,69.0418
35,-42.437,71.74211,-29.06517,69.03807
36,-42.36851,71.73683,-28.07449,69.05302
37,-42.4546,71.73027,-30.65702,69.06602
38,-42.39548,71.72867,-29.74016,69.07873
39,-42.50008,71.73376,-27.9713,69.09025
40,-42.48088,71.7383,-26.12661,69.13176
41,-42.51246,71.73431,-25.66436,69.22116
42,-42.60351,71.72322,-25.14421,69.29701
43,-42.62824,71.71661,-26.02586,69.24711
44,-42.65353,71.7156,-26.73814,69.16331
45,-42.6662,71.72033,-27.34636,69.12415
46,-42.67216,71.71992,-29.9463,69.10636
47,-42.71075,71.71379,-31.89124,69.09275
48,-42.73493,71.71056,-33.17396,69.07033
49,-42.73636,71.7097,-32.92736,69.06229
