Epoch,loss,mse,val_loss,val_mse
0,0.31196,0.05996,0.72463,0.02441
1,0.14276,0.01077,0.70234,0.02958
2,0.11375,0.00711,0.37976,0.0231
3,0.10442,0.00603,0.19647,0.01833
4,0.09931,0.00523,0.13065,0.01346
5,0.09635,0.00482,0.12905,0.01422
6,0.09399,0.00439,0.11049,0.01051
7,0.09199,0.00396,0.10998,0.01076
8,0.09071,0.00371,0.09489,0.00742
9,0.08916,0.00332,0.09544,0.00737
10,0.08766,0.0029,0.09532,0.00745
11,0.08681,0.00268,0.09687,0.008
12,0.08599,0.00244,0.09004,0.00603
13,0.08491,0.00213,0.08758,0.00533
14,0.08409,0.00187,0.08516,0.0049
15,0.08347,0.00171,0.08777,0.00602
16,0.08308,0.00161,0.08707,0.00576
17,0.08245,0.00143,0.083,0.004
18,0.08196,0.0013,0.08356,0.00402
19,0.08158,0.00121,0.08185,0.00386
20,0.0812,0.00111,0.08081,0.00336
21,0.0809,0.00103,0.08095,0.00347
22,0.08068,0.00099,0.08052,0.00323
23,0.08044,0.00092,0.0819,0.00397
24,0.08026,0.00088,0.08014,0.00318
25,0.08029,0.0009,0.08131,0.00327
26,0.08001,0.00082,0.07986,0.00326
27,0.0798,0.00077,0.08043,0.00315
28,0.0796,0.00072,0.08033,0.00324
29,0.07949,0.0007,0.07962,0.00302
30,0.07933,0.00066,0.08012,0.00314
31,0.07931,0.00066,0.0799,0.00306
32,0.07913,0.00062,0.08061,0.00313
33,0.07902,0.00059,0.08002,0.00317
34,0.07898,0.00059,0.08114,0.00354
35,0.07898,0.00059,0.07983,0.00324
36,0.07912,0.00063,0.07933,0.00302
37,0.07883,0.00055,0.08011,0.00331
38,0.07872,0.00052,0.07916,0.00291
39,0.07863,0.0005,0.07942,0.00297
40,0.07874,0.00054,0.07937,0.00301
41,0.07865,0.00051,0.07972,0.003
42,0.07854,0.00049,0.07961,0.00306
43,0.07852,0.00048,0.08004,0.00308
44,0.07852,0.00049,0.07983,0.00308
45,0.07845,0.00047,0.07925,0.00295
46,0.07835,0.00044,0.08058,0.00326
47,0.07835,0.00044,0.08129,0.00322
48,0.07841,0.00046,0.07972,0.00307
49,0.07832,0.00044,0.07949,0.00297
50,0.07824,0.00042,0.07947,0.00298
51,0.07817,0.0004,0.08057,0.00307
52,0.07813,0.00039,0.07983,0.00296
53,0.07813,0.00039,0.08079,0.00315
54,0.0782,0.00041,0.08044,0.00326
55,0.07826,0.00044,0.08002,0.00305
56,0.07814,0.0004,0.0791,0.00292
57,0.07803,0.00037,0.07917,0.00289
58,0.07804,0.00037,0.07926,0.00288
59,0.07798,0.00036,0.07936,0.00295
60,0.07794,0.00035,0.08013,0.003
61,0.07788,0.00033,0.07953,0.00294
62,0.07785,0.00033,0.08004,0.00302
63,0.07788,0.00033,0.07902,0.00286
64,0.07788,0.00034,0.08,0.00297
65,0.07798,0.00037,0.07939,0.00296
66,0.07793,0.00035,0.07972,0.00299
67,0.07795,0.00036,0.07954,0.00293
68,0.07792,0.00035,0.07925,0.00288
69,0.07781,0.00032,0.08017,0.00293
70,0.07778,0.00032,0.08052,0.00298
71,0.07771,0.0003,0.0802,0.00299
72,0.07775,0.00031,0.07975,0.0029
73,0.07777,0.00032,0.08063,0.00304
74,0.07781,0.00033,0.0801,0.00304
75,0.07793,0.00036,0.07978,0.00294
76,0.07782,0.00033,0.07965,0.0029
77,0.07775,0.00032,0.0804,0.00304
78,0.0777,0.0003,0.07975,0.00296
79,0.07773,0.00031,0.07957,0.00295
80,0.07783,0.00034,0.08147,0.00347
81,0.07802,0.00038,0.08028,0.00306
82,0.07795,0.00038,0.0802,0.00299
83,0.07773,0.00031,0.08073,0.00308
