Epoch,loss,mse,val_loss,val_mse
0,0.4338,0.1328,11.48944,0.76449
1,0.26618,0.06521,2.93279,0.20792
2,0.19923,0.04404,2.12015,0.18494
3,0.16004,0.03382,1.28335,0.16876
4,0.13312,0.02763,0.3401,0.09533
5,0.11654,0.02444,0.29378,0.08305
6,0.10369,0.02217,0.24827,0.06839
7,0.09334,0.02031,0.16661,0.03989
8,0.08488,0.01865,0.13178,0.02892
9,0.07746,0.01719,0.11847,0.02622
10,0.07082,0.01586,0.11107,0.02513
11,0.06746,0.01541,0.10366,0.02379
12,0.06625,0.01574,0.09831,0.02312
13,0.06305,0.01514,0.10093,0.02447
14,0.05961,0.01442,0.08768,0.0215
15,0.05462,0.01315,0.08451,0.02085
16,0.0504,0.01211,0.0845,0.021
17,0.04692,0.0113,0.08175,0.02039
18,0.04836,0.01204,0.07983,0.02055
19,0.04464,0.01107,0.07975,0.02061
20,0.04184,0.01038,0.08013,0.02079
21,0.03878,0.00955,0.07618,0.0196
22,0.03934,0.0099,0.07658,0.01993
23,0.03824,0.0097,0.07555,0.01982
24,0.03725,0.00954,0.07467,0.01955
25,0.03412,0.00864,0.07782,0.02028
26,0.03327,0.00843,0.07497,0.01949
27,0.03445,0.00901,0.07516,0.01967
28,0.03186,0.00821,0.07436,0.01948
29,0.03121,0.0081,0.07885,0.02048
30,0.02977,0.0077,0.07537,0.01938
31,0.02898,0.00751,0.07494,0.01942
32,0.02724,0.00703,0.07754,0.01979
33,0.02823,0.00745,0.08896,0.02247
34,0.02764,0.00729,0.0847,0.02152
35,0.02766,0.00735,0.08579,0.02156
36,0.02571,0.00676,0.07924,0.01991
37,0.02375,0.00617,0.07732,0.01924
38,0.0226,0.00581,0.07881,0.01949
39,0.0217,0.00558,0.08313,0.02038
40,0.02211,0.00574,0.07956,0.0195
41,0.02155,0.00562,0.07975,0.01952
42,0.0212,0.00556,0.08128,0.01968
43,0.02156,0.0057,0.08038,0.01948
44,0.02059,0.00543,0.08334,0.02007
45,0.02038,0.00538,0.0871,0.02047
46,0.01948,0.00514,0.08448,0.02008
47,0.02223,0.00605,0.08531,0.02012
48,0.02043,0.00552,0.08359,0.01958
