Epoch,loss,mse,val_loss,val_mse
0,0.5982,0.20295,10.9039,0.70961
1,0.45776,0.14371,10.8183,0.70925
2,0.41479,0.12555,8.92966,0.69078
3,0.3643,0.10599,10.92244,0.71029
4,0.36047,0.10829,10.18596,0.70106
5,0.34765,0.10414,1.77121,0.52503
6,0.32678,0.09731,0.84353,0.24824
7,0.34972,0.10094,10.78618,0.70974
8,0.3392,0.09962,4.71244,0.66235
9,0.30213,0.0867,0.6946,0.25162
10,0.32486,0.09681,1.77356,0.55993
11,0.29475,0.08258,0.56069,0.18763
12,0.27379,0.0782,6.34548,0.69291
13,0.25567,0.07268,0.9447,0.3162
14,0.2262,0.06356,0.69491,0.2111
15,0.25465,0.07349,0.95537,0.25482
16,0.24293,0.06889,0.85264,0.25139
17,0.2446,0.06771,0.64226,0.21269
18,0.26853,0.07805,0.66322,0.17978
19,0.20872,0.05614,1.54078,0.47156
20,0.17043,0.0446,1.68026,0.51095
21,0.23585,0.06748,1.28723,0.44872
22,0.28086,0.07972,0.51274,0.17002
23,0.22635,0.06209,0.77786,0.27937
24,0.19758,0.05297,1.62402,0.2394
25,0.20764,0.05793,0.8107,0.20546
26,0.1875,0.05062,0.44443,0.13663
27,0.15297,0.03917,0.74117,0.20515
28,0.14746,0.03901,0.73987,0.20081
29,0.1005,0.02411,0.56995,0.17895
30,0.11709,0.02951,0.52102,0.15744
31,0.17056,0.04512,0.38098,0.11818
32,0.14103,0.03721,0.31019,0.09308
33,0.09959,0.02394,0.34894,0.09164
34,0.10777,0.02647,0.25436,0.0689
35,0.1087,0.02584,0.26995,0.07615
36,0.11577,0.02831,0.2122,0.05435
37,0.12098,0.03191,0.35137,0.08207
38,0.09533,0.02453,0.52428,0.1226
39,0.12171,0.03292,0.32611,0.09147
40,0.10305,0.02646,0.17904,0.04753
41,0.0938,0.02257,0.21097,0.05378
42,0.18679,0.05639,0.12708,0.03099
43,0.09099,0.02334,0.22925,0.06761
44,0.06644,0.01621,0.16449,0.04269
45,0.07542,0.01845,0.10683,0.02621
46,0.07275,0.01812,0.17225,0.04511
47,0.05972,0.01465,0.19436,0.05426
48,0.06858,0.01612,0.19732,0.05427
49,0.0999,0.02746,0.18493,0.05576
50,0.09914,0.02585,0.17852,0.05289
51,0.06014,0.01484,0.18623,0.04896
52,0.06019,0.01451,0.0977,0.02521
53,0.10295,0.02797,0.1758,0.04671
54,0.07257,0.01829,0.15501,0.04358
55,0.0655,0.01622,0.09128,0.02296
56,0.07109,0.01686,0.28259,0.097
57,0.06202,0.01538,0.14542,0.03658
58,0.05826,0.01448,0.14713,0.03664
59,0.05899,0.01519,0.14534,0.03633
60,0.04761,0.01079,0.11212,0.02625
61,0.05589,0.01369,0.10641,0.02771
62,0.11611,0.03266,0.22113,0.05419
63,0.10923,0.02826,0.32788,0.07401
64,0.08028,0.01956,0.15886,0.03881
65,0.05388,0.01305,0.11972,0.02448
